

        *** EAGLE-TRT
        *** Telemetry Log File
        *** 12/15/2020, 18:12:54        

        *** Pilot: Mirco
        *** Race: Acceleration
        *** Circuit: Vadena        

(1608055974.318981) can0 202#903C000000000000
(1608055974.319519) can0 201#90C4000000000000
(1608055974.319988) can0 4EC#0047FFE3008B0000
(1608055974.320601) can0 202#903C000000000000
(1608055974.321185) can0 4ED#00040002FF9E0000
(1608055974.321964) can0 0C0#022DA20000000000
(1608055974.322457) can0 201#90C4000000000000
(1608055974.322852) can0 0C0#0113891387138D32
(1608055974.323355) can0 202#903C000000000000
(1608055974.323759) can0 0C0#0001910191019004
(1608055974.324161) can0 201#90C4000000000000
(1608055974.324551) can0 0D0#150309030900006B
(1608055974.324975) can0 202#903C000000000000
(1608055974.325550) can0 4EC#0048FFE000920000
(1608055974.325989) can0 0D0#080000000000006B
(1608055974.326419) can0 201#90C4000000000000
(1608055974.326830) can0 0AA#0500070000
(1608055974.327416) can0 0AA#01420FC99DC49A33
(1608055974.327873) can0 4ED#00040003FF9D0000
(1608055974.328327) can0 0D0#0700000000000000
(1608055974.328789) can0 202#903C000000000000
(1608055974.329235) can0 0D0#060000000000006B
(1608055974.329680) can0 201#90C4000000000000
(1608055974.330048) can0 202#903C000000000000
(1608055974.330440) can0 4EC#003CFFE500960000
(1608055974.330800) can0 201#90C4000000000000
(1608055974.331252) can0 4ED#00040003FF9E0000
(1608055974.331688) can0 202#903C000000000000
(1608055974.332101) can0 0B0#01015F0500000000
(1608055974.332593) can0 201#90C4000000000000
(1608055974.333035) can0 0B0#02640105F501006E
(1608055974.333480) can0 202#903C000000000000
(1608055974.333895) can0 201#90C4000000000000
(1608055974.334310) can0 4EC#003EFFE000940000
(1608055974.334745) can0 202#903C000000000000
(1608055974.335280) can0 4ED#00040002FF9E0000
(1608055974.335884) can0 0AF#000000
(1608055974.336354) can0 201#9062000000000000
(1608055974.336732) can0 201#3DD8
(1608055974.337180) can0 202#909E000000000000
(1608055974.337652) can0 201#9062000000000000
(1608055974.338066) can0 0AA#05000A0000
(1608055974.338494) can0 0AA#014211189DD89A33
(1608055974.338942) can0 4EC#0037FFE700960000
(1608055974.339524) can0 202#909E000000000000
(1608055974.340154) can0 4ED#00040003FF9E0000
(1608055974.340622) can0 201#9062000000000000
(1608055974.341031) can0 202#909E000000000000
(1608055974.341676) can0 0C0#022DBC0000000000
